Machine , AllowDeviceNameInDiagnosticData , $(string.AllowDeviceNameInDiagnosticData)
Machine , ConfigureTelemetryOptInSettingsUx , $(string.ConfigureTelemetryOptInSettingsUx)
Machine , ConfigureTelemetryOptInChangeNotification , $(string.ConfigureTelemetryOptInChangeNotification)
Machine , DisableDeviceDelete , $(string.DisableDeviceDelete)
Machine , DisableDiagnosticDataViewer , $(string.DisableDiagnosticDataViewer)
Machine , ConfigureMicrosoft365UploadEndpoint , $(string.ConfigureMicrosoft365UploadEndpoint)
Machine , AllowUpdateComplianceProcessing , $(string.AllowUpdateComplianceProcessing)
Machine , AllowDesktopAnalyticsProcessing , $(string.AllowDesktopAnalyticsProcessing)
Machine , AllowWUfBCloudProcessing , $(string.AllowWUfBCloudProcessing)
Machine , AllowCommercialDataPipeline , $(string.AllowCommercialDataPipeline)
Machine , ActiveHelp , $(string.ActiveHelp)
User , HPExplicitFeedback , $(string.HPExplicitFeedback)
User , HPImplicitFeedback , $(string.HPImplicitFeedback)
User , HPOnlineAssistance , $(string.HPOnlineAssistance)
Machine , MDM_MDM_DisplayName , $(string.MDM_MDM_DisplayName)
Machine , MDM_JoinMDM_DisplayName , $(string.MDM_JoinMDM_DisplayName)
Machine , P2P_Disabled , $(string.P2P_Disabled)
Machine , PNRP_DisableMulticastBootstrap_1 , $(string.PNRP_DisableMulticastBootstrap)
Machine , PNRP_Disabled_1 , $(string.PNRP_Disabled)
Machine , PNRP_SearchOnly_1 , $(string.PNRP_SearchOnly)
Machine , PNRP_SeedServer_1 , $(string.PNRP_SeedServer)
Machine , PNRP_DisableMulticastBootstrap_3 , $(string.PNRP_DisableMulticastBootstrap)
Machine , PNRP_Disabled_3 , $(string.PNRP_Disabled)
Machine , PNRP_SearchOnly_3 , $(string.PNRP_SearchOnly)
Machine , PNRP_SeedServer_3 , $(string.PNRP_SeedServer)
Machine , PNRP_DisableMulticastBootstrap_2 , $(string.PNRP_DisableMulticastBootstrap)
Machine , PNRP_Disabled_2 , $(string.PNRP_Disabled)
Machine , PNRP_SearchOnly_2 , $(string.PNRP_SearchOnly)
Machine , PNRP_SeedServer_2 , $(string.PNRP_SeedServer)
Machine , GROUPING_DisablePasswordPolicyEnforcement , $(string.GROUPING_DisablePasswordPolicyEnforcement)
User , AccessRights_RebootTime_1 , $(string.AccessRights_RebootTime)
Machine , AccessRights_RebootTime_2 , $(string.AccessRights_RebootTime)
User , CDandDVD_DenyRead_Access_1 , $(string.CDandDVD_DenyRead_Access)
Machine , CDandDVD_DenyRead_Access_2 , $(string.CDandDVD_DenyRead_Access)
User , CDandDVD_DenyWrite_Access_1 , $(string.CDandDVD_DenyWrite_Access)
Machine , CDandDVD_DenyWrite_Access_2 , $(string.CDandDVD_DenyWrite_Access)
Machine , CDandDVD_DenyExecute_Access_2 , $(string.CDandDVD_DenyExecute_Access)
User , CustomClasses_DenyRead_Access_1 , $(string.CustomClasses_DenyRead_Access)
Machine , CustomClasses_DenyRead_Access_2 , $(string.CustomClasses_DenyRead_Access)
User , CustomClasses_DenyWrite_Access_1 , $(string.CustomClasses_DenyWrite_Access)
Machine , CustomClasses_DenyWrite_Access_2 , $(string.CustomClasses_DenyWrite_Access)
User , FloppyDrives_DenyRead_Access_1 , $(string.FloppyDrives_DenyRead_Access)
Machine , FloppyDrives_DenyRead_Access_2 , $(string.FloppyDrives_DenyRead_Access)
User , FloppyDrives_DenyWrite_Access_1 , $(string.FloppyDrives_DenyWrite_Access)
Machine , FloppyDrives_DenyWrite_Access_2 , $(string.FloppyDrives_DenyWrite_Access)
Machine , FloppyDrives_DenyExecute_Access_2 , $(string.FloppyDrives_DenyExecute_Access)
User , RemovableDisks_DenyRead_Access_1 , $(string.RemovableDisks_DenyRead_Access)
Machine , RemovableDisks_DenyRead_Access_2 , $(string.RemovableDisks_DenyRead_Access)
User , RemovableDisks_DenyWrite_Access_1 , $(string.RemovableDisks_DenyWrite_Access)
Machine , RemovableDisks_DenyWrite_Access_2 , $(string.RemovableDisks_DenyWrite_Access)
Machine , RemovableDisks_DenyExecute_Access_2 , $(string.RemovableDisks_DenyExecute_Access)
User , RemovableStorageClasses_DenyAll_Access_1 , $(string.RemovableStorageClasses_DenyAll_Access)
Machine , RemovableStorageClasses_DenyAll_Access_2 , $(string.RemovableStorageClasses_DenyAll_Access)
User , TapeDrives_DenyRead_Access_1 , $(string.TapeDrives_DenyRead_Access)
Machine , TapeDrives_DenyRead_Access_2 , $(string.TapeDrives_DenyRead_Access)
User , TapeDrives_DenyWrite_Access_1 , $(string.TapeDrives_DenyWrite_Access)
Machine , TapeDrives_DenyWrite_Access_2 , $(string.TapeDrives_DenyWrite_Access)
Machine , TapeDrives_DenyExecute_Access_2 , $(string.TapeDrives_DenyExecute_Access)
User , WPDDevices_DenyRead_Access_1 , $(string.WPDDevices_DenyRead_Access)
Machine , WPDDevices_DenyRead_Access_2 , $(string.WPDDevices_DenyRead_Access)
User , WPDDevices_DenyWrite_Access_1 , $(string.WPDDevices_DenyWrite_Access)
Machine , WPDDevices_DenyWrite_Access_2 , $(string.WPDDevices_DenyWrite_Access)
Machine , Removable_Remote_Allow_Access , $(string.Removable_Remote_Allow_Access)
User , AllowBrowse_1 , $(string.AllowBrowse)
Machine , AllowBrowse_2 , $(string.AllowBrowse)
